id,identifier,name,name_jp,name_jp_tm,generation_id,type_id,power,pp,accuracy,priority,target_id,category_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
42,pin-missile,"Pin Missile","ミサイルばり","Missile Needle",1,7,14,20,85,0,10,2,30,"",1,10,7
43,leer,Leer,"にらみつける",Glare,1,1,0,30,100,0,11,1,20,"",1,24,19
44,bite,Bite,"かみつく",Bite,1,17,60,25,100,0,10,2,32,30,5,5,5
45,growl,Growl,"なきごえ",Cry,1,1,0,40,100,0,11,1,19,"",3,28,19
46,roar,Roar,"ほえる",Roar,1,1,0,20,100,-6,10,1,29,"",1,21,19
47,sing,Sing,"うたう",Sing,1,1,0,15,55,0,10,1,2,"",3,18,19
48,supersonic,Supersonic,"ちょうおんぱ",Soundwave,1,1,0,20,55,0,10,1,50,"",4,21,19
49,sonicboom,SonicBoom,"ソニックブーム","Sonic Boom",1,1,1,20,90,0,10,3,131,"",1,12,5
50,disable,Disable,"かなしばり","Temporary Binding",1,1,0,20,100,0,10,1,87,"",4,18,19
51,acid,Acid,"ようかいえき","Corrosive Liquid",1,4,40,30,100,0,11,3,73,10,4,4,5
52,ember,Ember,"ひのこ",Sparks,1,10,40,25,100,0,10,3,5,10,2,1,5
53,flamethrower,Flamethrower,"かえんほうしゃ","Flame Emission",1,10,95,15,100,0,10,3,5,10,2,1,17
54,mist,Mist,"しろいきり","White Mist",1,15,0,30,"",0,4,1,47,"",2,15,13
55,water-gun,"Water Gun","みずでっぽう","Water Gun",1,11,40,25,100,0,10,3,1,"",3,1,5
56,hydro-pump,"Hydro Pump","ハイドロポンプ","Hydro Pump",1,11,120,5,80,0,10,3,1,"",2,1,17
57,surf,Surf,"なみのり",Surfing,1,11,95,15,100,0,9,3,258,"",2,2,17
58,ice-beam,"Ice Beam","れいとうビーム","Freezing Beam",1,15,95,10,100,0,10,3,6,10,2,23,17
59,blizzard,Blizzard,"ふぶき",Snowstorm,1,15,120,5,70,0,11,3,261,10,2,1,17
60,psybeam,Psybeam,"サイケこうせん",Psyche-beam,1,14,65,20,100,0,10,3,77,10,2,21,17
61,bubblebeam,BubbleBeam,"バブルこうせん","Bubble Beam",1,11,65,20,100,0,10,3,71,10,2,5,2
62,aurora-beam,"Aurora Beam","オーロラビーム","Aurora Beam",1,15,65,20,100,0,10,3,69,10,2,23,17
63,hyper-beam,"Hyper Beam","はかいこうせん","Destruction Beam",1,1,150,5,90,0,10,3,81,"",1,6,22
64,peck,Peck,"つつく",Peck,1,3,35,35,100,0,10,2,1,"",1,1,5
65,drill-peck,"Drill Peck","ドリルくちばし","Drill Beak",1,3,80,20,100,0,10,2,1,"",1,1,5
66,submission,Submission,"じごくぐるま","Hell Wheel",1,2,80,25,80,0,10,2,49,"",1,3,5
67,low-kick,"Low Kick","けたぐり","Kick Down",1,2,1,20,100,0,10,2,197,"",5,4,5
68,counter,Counter,"カウンター",Counter,1,2,1,20,100,-5,1,2,90,"",5,16,15
69,seismic-toss,"Seismic Toss","ちきゅうなげ","Earth Throw",1,2,1,20,100,0,10,2,88,"",5,23,5
70,strength,Strength,"かいりき","Super Strength",1,1,80,15,100,0,10,2,1,"",5,23,5
71,absorb,Absorb,"すいとる",Absorb,1,12,20,25,100,0,10,3,4,"",4,9,20
72,mega-drain,"Mega Drain","メガドレイン","Mega Drain",1,12,40,15,100,0,10,3,4,"",4,4,20
73,leech-seed,"Leech Seed","やどりぎのタネ","Mistletoe Seed",1,12,0,10,90,0,10,1,85,"",4,8,21
74,growth,Growth,"せいちょう",Growth,1,1,0,40,"",0,7,1,317,"",2,32,11
75,razor-leaf,"Razor Leaf","はっぱカッター","Leaf Cutter",1,12,55,25,95,0,11,2,44,"",1,2,5
76,solarbeam,SolarBeam,"ソーラービーム",SolarBeam,1,12,120,10,100,0,10,3,152,"",1,1,6
77,poisonpowder,PoisonPowder,"どくのこな",PoisonPowder,1,4,0,35,75,0,10,1,67,"",4,33,19
78,stun-spore,"Stun Spore","しびれごな","Numbing Powder",1,12,0,30,75,0,10,1,68,"",4,14,19
79,sleep-powder,"Sleep Powder","ねむりごな","Sleep Powder",1,12,0,15,75,0,10,1,2,"",4,5,19
80,petal-dance,"Petal Dance","はなびらのまい","Petal Dance",1,12,120,10,100,0,8,3,28,"",2,6,21
81,string-shot,"String Shot","いとをはく","Spit Thread",1,7,0,40,95,0,11,1,21,"",4,9,19
82,dragon-rage,"Dragon Rage","りゅうのいかり","Dragon Rage",1,16,1,10,100,0,10,3,42,"",1,26,5
83,fire-spin,"Fire Spin","ほのおのうず","Flame Swirl",1,10,35,15,85,0,10,3,43,100,2,24,21
84,thundershock,ThunderShock,"でんきショック","Electric Shock",1,13,40,30,100,0,10,3,7,10,1,1,5
85,thunderbolt,Thunderbolt,"１０まんボルト","100,000 Volts",1,13,95,15,100,0,10,3,7,10,1,1,17
86,thunder-wave,"Thunder Wave","でんじは","Electromagnetic Wave",1,13,0,20,100,0,10,1,68,"",1,14,19
87,thunder,Thunder,"かみなり",Thunder,1,13,120,10,70,0,10,3,153,30,1,8,17
88,rock-throw,"Rock Throw","いわおとし","Rock Drop",1,6,50,15,90,0,10,2,1,"",5,12,5
89,earthquake,Earthquake,"じしん",Earthquake,1,5,100,10,100,0,9,2,148,"",5,5,18
90,fissure,Fissure,"じわれ",Fissure,1,5,1,5,30,0,10,2,39,"",5,14,9
91,dig,Dig,"あなをほる","Dig Hole",1,5,80,10,100,0,10,2,257,"",4,15,6
92,toxic,Toxic,"どくどく","Excessive Poison",1,4,0,10,90,0,10,1,34,"",4,33,19
93,confusion,Confusion,"ねんりき",Psychokinesis,1,14,50,25,100,0,10,3,77,10,4,9,5
94,psychic,Psychic,"サイコキネシス",Psychokinesis,1,14,90,10,100,0,10,3,73,10,4,5,17
95,hypnosis,Hypnosis,"さいみんじゅつ",Hypnosis,1,14,0,20,60,0,10,1,2,"",4,5,19
96,meditate,Meditate,"ヨガのポーズ","Yoga Pose",1,14,0,40,"",0,7,1,11,"",2,32,11
97,agility,Agility,"こうそくいどう","High-speed Movement",1,14,0,30,"",0,7,1,53,"",1,30,1
98,quick-attack,"Quick Attack","でんこうせっか","Lightning Speed",1,1,40,30,100,1,10,2,104,"",1,30,1
99,rage,Rage,"いかり",Rage,1,1,20,20,100,0,10,2,82,"",1,17,11
100,teleport,Teleport,"テレポート",Teleport,1,14,0,20,"",0,7,1,154,"",1,15,1
101,night-shade,"Night Shade","ナイトヘッド","Night Head",1,8,1,15,100,0,10,3,88,"",4,23,5
102,mimic,Mimic,"ものまね",Mimic,1,1,0,10,"",0,10,1,83,"",3,19,12
103,screech,Screech,"いやなおと","Unpleasant Tone",1,1,0,40,85,0,10,1,60,"",4,5,10
104,double-team,"Double Team","かげぶんしん","Shadow Divide",1,1,0,15,"",0,7,1,17,"",1,16,1
105,recover,Recover,"じこさいせい",Self-regeneration,1,1,0,10,"",0,7,1,33,"",4,23,8
106,harden,Harden,"かたくなる",Stiffen,1,1,0,30,"",0,7,1,12,"",5,16,13
107,minimize,Minimize,"ちいさくなる",Shrink,1,1,0,20,"",0,7,1,109,"",3,16,13
108,smokescreen,SmokeScreen,"えんまく",Smokescreen,1,1,0,20,100,0,10,1,24,"",4,21,10
109,confuse-ray,"Confuse Ray","あやしいひかり","Bewitching Light",1,8,0,10,100,0,10,1,50,"",4,21,10
110,withdraw,Withdraw,"からにこもる","Withdraw into Shell",1,11,0,40,"",0,7,1,12,"",3,15,13
111,defense-curl,"Defense Curl","まるくなる","Curl Up",1,1,0,40,"",0,7,1,157,"",3,16,13
112,barrier,Barrier,"バリアー",Barrier,1,14,0,30,"",0,7,1,52,"",1,15,13
113,light-screen,"Light Screen","ひかりのかべ","Light Wall",1,14,0,30,"",0,4,1,36,"",2,15,13
114,haze,Haze,"くろいきり","Black Mist",1,15,0,30,"",0,12,1,26,"",2,33,13
115,reflect,Reflect,"リフレクター",Reflector,1,14,0,20,"",0,4,1,66,"",4,15,13
116,focus-energy,"Focus Energy","きあいだめ","Fighting Spirit Improvement",1,1,0,30,"",0,7,1,48,"",1,5,11
117,bide,Bide,"がまん",Perserverance,1,1,1,10,"",1,7,2,27,"",5,15,15
118,metronome,Metronome,"ゆびをふる","Wag Finger",1,1,0,10,"",0,7,1,84,"",3,17,14
119,mirror-move,"Mirror Move","オウムがえし","Parrot Mimicry",1,3,0,20,"",0,10,1,10,"",4,19,15
120,selfdestruct,Selfdestruct,"じばく","Suicide Bombing",1,1,200,5,100,0,9,2,8,"",2,7,9
121,egg-bomb,"Egg Bomb","タマゴばくだん","Egg Bomb",1,1,100,10,75,0,10,2,1,"",5,1,5
122,lick,Lick,"したでなめる","Tongue Lick",1,8,20,30,100,0,10,2,7,30,5,4,16
123,smog,Smog,"スモッグ",Smog,1,4,20,20,70,0,10,3,3,40,5,5,5
124,sludge,Sludge,"ヘドロこうげき","Sludge Stream",1,4,65,20,100,0,10,3,3,30,5,4,18
125,bone-club,"Bone Club","ホネこんぼう","Bone Club",1,5,65,20,85,0,10,2,32,10,5,10,5
126,fire-blast,"Fire Blast","だいもんじ",Daimonji,1,10,120,5,85,0,10,3,5,10,2,1,17
127,waterfall,Waterfall,"たきのぼり","Waterfall Climb",1,11,80,15,100,0,10,2,32,20,5,28,5
128,clamp,Clamp,"からではさむ","Clamp with Shell",1,11,35,10,85,0,10,2,43,100,5,24,5
129,swift,Swift,"スピードスター","Speed Star",1,1,60,20,"",0,11,3,18,"",1,27,17
130,skull-bash,"Skull Bash","ロケットずつき","Rocket Headbutt",1,1,100,15,100,0,10,2,146,100,5,4,6
131,spike-cannon,"Spike Cannon","とげキャノン","Spike Cannon",1,1,20,15,100,0,10,2,30,"",1,10,7
132,constrict,Constrict,"からみつく","Coil Around",1,1,10,35,100,0,10,2,71,10,5,9,21
133,amnesia,Amnesia,"ドわすれ","Memory Lapse",1,14,0,20,"",0,7,1,55,"",3,32,11
134,kinesis,Kinesis,"スプーンまげ","Spoon Bend",1,14,0,15,80,0,10,1,24,"",4,24,11
135,softboiled,Softboiled,"タマゴうみ","Egg Lay",1,1,0,10,"",0,7,1,33,"",2,1,8
136,hi-jump-kick,"Hi Jump Kick","とびひざげり","Jumping Knee Kick",1,2,130,10,90,0,10,2,46,"",1,3,5
137,glare,Glare,"へびにらみ","Snake Glare",1,1,0,30,90,0,10,1,68,"",5,5,19
138,dream-eater,"Dream Eater","ゆめくい","Dream Eat",1,14,100,15,100,0,10,3,9,"",4,8,20
139,poison-gas,"Poison Gas","どくガス","Poison Gas",1,4,0,40,90,0,11,1,67,"",4,33,5
140,barrage,Barrage,"たまなげ","Ball Throw",1,1,15,20,85,0,10,2,30,"",5,12,7
141,leech-life,"Leech Life","きゅうけつ","Suck Blood",1,7,20,15,100,0,10,2,4,"",4,9,20
142,lovely-kiss,"Lovely Kiss","あくまのキッス","Demon's Kiss",1,1,0,10,75,0,10,1,2,"",2,5,19
143,sky-attack,"Sky Attack","ゴッドバード","God Bird",1,3,140,5,90,0,10,2,76,30,1,2,6
144,transform,Transform,"へんしん",Transform,1,1,0,10,"",0,10,1,58,"",4,17,23
145,bubble,Bubble,"あわ",Bubble,1,11,20,30,100,0,11,3,71,10,3,8,2
146,dizzy-punch,"Dizzy Punch","ピヨピヨパンチ","Chirp Chirp Punch",1,1,70,10,100,0,10,2,77,20,1,4,16
147,spore,Spore,"キノコのほうし","Mushroom Spore",1,12,0,15,100,0,10,1,2,"",2,5,10
148,flash,Flash,"フラッシュ",Flash,1,1,0,20,100,0,10,1,24,"",2,21,10
149,psywave,Psywave,"サイコウェーブ",Psychowave,1,14,1,15,80,0,10,3,89,"",4,14,5
150,splash,Splash,"はねる",Hop,1,1,0,40,"",0,7,1,86,"",3,28,16
151,acid-armor,"Acid Armor","とける",Liquefy,1,4,0,40,"",0,7,1,52,"",5,32,11
152,crabhammer,Crabhammer,"クラブハンマー","Crab Hammer",1,11,90,10,90,0,10,2,44,"",5,2,18
153,explosion,Explosion,"だいばくはつ","Giant Explosion",1,1,250,5,100,0,9,2,8,"",2,7,9
154,fury-swipes,"Fury Swipes","みだれひっかき","Disturbed Scratch",1,1,18,15,80,0,10,2,30,"",5,10,7
155,bonemerang,Bonemerang,"ホネブーメラン","Bone Boomerang",1,5,50,10,90,0,10,2,45,"",5,1,7
156,rest,Rest,"ねむる",Sleep,1,14,0,10,"",0,7,1,38,"",3,16,8
157,rock-slide,"Rock Slide","いわなだれ","Rock Slide",1,6,75,10,90,0,11,2,32,30,5,5,5
158,hyper-fang,"Hyper Fang","ひっさつまえば","Certain-kill Fang",1,1,80,15,90,0,10,2,32,10,1,4,18
159,sharpen,Sharpen,"かくばる","Improve Angles",1,1,0,30,"",0,7,1,11,"",3,32,11
160,conversion,Conversion,"テクスチャー",Texture,1,1,0,30,"",0,7,1,31,"",2,12,23
161,tri-attack,"Tri Attack","トライアタック","Tri Attack",1,1,80,10,100,0,10,3,37,20,2,8,5
162,super-fang,"Super Fang","いかりのまえば","Hatred Fang",1,1,1,10,90,0,10,2,41,"",5,14,5
163,slash,Slash,"きりさく","Tear into Pieces",1,1,70,20,100,0,10,2,44,"",1,2,5
164,substitute,Substitute,"みがわり",Scapegoat,1,1,0,10,"",0,7,1,80,"",4,16,23
165,struggle,Struggle,"わるあがき","Vain Struggle",1,1,50,"","",0,10,2,255,"",1,1,5
166,sketch,Sketch,"スケッチ",Sketch,2,1,0,1,"",0,10,1,96,"",4,19,23
167,triple-kick,"Triple Kick","トリプルキック","Triple Kick",2,2,10,10,90,0,10,2,105,"",1,1,7
168,thief,Thief,"どろぼう",Thief,2,17,40,10,100,0,10,2,106,"",5,20,12
169,spider-web,"Spider Web","クモのす","Spider's Web",2,7,0,10,"",0,10,1,107,"",4,18,13
170,mind-reader,"Mind Reader","こころのめ","Heart's Eye",2,1,0,5,"",0,10,1,95,"",4,24,20
171,nightmare,Nightmare,"あくむ",Nightmare,2,8,0,15,100,0,10,1,108,"",4,5,19
172,flame-wheel,"Flame Wheel","かえんぐるま","Flame Wheel",2,10,60,25,100,0,10,2,126,10,2,1,7
173,snore,Snore,"いびき",Snore,2,1,40,15,100,0,10,3,93,30,3,1,5
174,curse,Curse,"のろい",Noroi,2,8,0,10,"",0,1,1,110,"",5,31,21
175,flail,Flail,"じたばた",Wriggling,2,1,1,15,100,0,10,2,100,"",3,26,15
176,conversion-2,"Conversion 2","テクスチャー２","Texture 2",2,1,0,30,"",0,10,1,94,"",2,12,23
177,aeroblast,Aeroblast,"エアロブラスト",Aeroblast,2,3,100,5,95,0,10,3,44,"",1,2,22
178,cotton-spore,"Cotton Spore","わたほうし","Cotton Spore",2,12,0,40,100,0,10,1,61,"",2,10,1
179,reversal,Reversal,"きしかいせい",Reversal,2,2,1,15,100,0,10,2,100,"",1,28,15
180,spite,Spite,"うらみ",Spite,2,8,0,10,100,0,10,1,101,"",5,28,19
181,powder-snow,"Powder Snow","こなゆき","Powder Snow",2,15,40,25,100,0,11,3,6,10,2,1,5
182,protect,Protect,"まもる",Protect,2,1,0,10,"",4,7,1,112,"",3,15,16
183,mach-punch,"Mach Punch","マッハパンチ","Mach Punch",2,2,40,30,100,1,10,2,104,"",1,30,1
184,scary-face,"Scary Face","こわいかお","Scary Face",2,1,0,10,90,0,10,1,61,"",5,10,2
185,faint-attack,"Faint Attack","だましうち","Sneak Attack",2,17,60,20,"",0,10,2,18,"",4,27,18
186,sweet-kiss,"Sweet Kiss","てんしのキッス","Angel's Kiss",2,1,0,10,75,0,10,1,50,"",3,18,19
187,belly-drum,"Belly Drum","はらだいこ","Belly Drum",2,1,0,10,"",0,7,1,143,"",3,32,11
188,sludge-bomb,"Sludge Bomb","ヘドロばくだん","Sludge Bomb",2,4,90,10,100,0,10,3,3,30,5,10,18
189,mud-slap,Mud-Slap,"どろかけ","Mud Spray",2,5,20,10,100,0,10,3,74,100,3,10,5
190,octazooka,Octazooka,"オクタンほう","Okutank Cannon",2,11,65,10,85,0,10,3,74,50,5,10,4
191,spikes,Spikes,"まきびし",Caltrop,2,5,0,20,"",0,6,1,113,"",4,18,13
192,zap-cannon,"Zap Cannon","でんじほう","Electromagnetic Cannon",2,13,120,5,50,0,10,3,7,100,1,1,4
193,foresight,Foresight,"みやぶる","Thought Read",2,1,0,40,"",0,10,1,114,"",4,33,20
194,destiny-bond,"Destiny Bond","みちづれ","Fellow Travelers",2,8,0,5,"",0,7,1,99,"",4,7,9
195,perish-song,"Perish Song","ほろびのうた","Perish Song",2,1,0,5,"",0,12,1,115,"",2,14,10
196,icy-wind,"Icy Wind","こごえるかぜ","Chilling Wind",2,15,55,15,95,0,11,3,71,100,2,5,2
197,detect,Detect,"みきり",All-Seeing,2,2,0,5,"",4,7,1,112,"",1,16,16
198,bone-rush,"Bone Rush","ボーンラッシュ","Bone Rush",2,5,25,10,80,0,10,2,30,"",5,1,7
199,lock-on,Lock-On,"ロックオン",Lock-On,2,1,0,5,"",0,10,1,95,"",4,24,20
200,outrage,Outrage,"げきりん","Imperial Rage",2,16,120,15,100,0,8,2,28,"",1,6,7
201,sandstorm,Sandstorm,"すなあらし",Sandstorm,2,6,0,10,"",0,12,1,116,"",5,21,13
202,giga-drain,"Giga Drain","ギガドレイン","Giga Drain",2,12,75,10,100,0,10,3,4,"",4,10,20
203,endure,Endure,"こらえる",Endure,2,1,0,10,"",4,7,1,117,"",5,16,13
204,charm,Charm,"あまえる","Spoiled Pout",2,1,0,20,100,0,10,1,59,"",3,23,19
205,rollout,Rollout,"ころがる",Roll,2,6,30,20,90,0,10,2,118,"",5,24,7
206,false-swipe,"False Swipe","みねうち","Blunt Strike",2,1,40,40,100,0,10,2,102,"",1,5,16
207,swagger,Swagger,"いばる",Swagger,2,1,0,15,90,0,10,1,119,"",3,27,19
208,milk-drink,"Milk Drink","ミルクのみ","Milk Drink",2,1,0,10,"",0,7,1,33,"",3,12,8
209,spark,Spark,"スパーク",Spark,2,13,65,20,100,0,10,2,7,30,1,4,5
210,fury-cutter,"Fury Cutter","れんぞくぎり","Consecutive Cut",2,7,20,20,95,0,10,2,120,"",1,17,7
211,steel-wing,"Steel Wing","はがねのつばさ","Steel Wing",2,9,70,25,90,0,10,2,139,10,1,12,5
212,mean-look,"Mean Look","くろいまなざし","Dark Look",2,1,0,5,"",0,10,1,107,"",2,18,10
213,attract,Attract,"メロメロ",Attract,2,1,0,15,100,0,10,1,121,"",3,18,19
214,sleep-talk,"Sleep Talk","ねごと","Sleep Talk",2,1,0,10,"",0,7,1,98,"",3,17,5
215,heal-bell,"Heal Bell","いやしのすず","Heal Bell",2,1,0,5,"",0,4,1,103,"",2,28,8
216,return,Return,"おんがえし","Return Favor",2,1,1,20,100,0,10,2,122,"",3,13,17
217,present,Present,"プレゼント",Present,2,1,1,15,90,0,10,2,123,"",3,17,16
218,frustration,Frustration,"やつあたり","Angry Outburst",2,1,1,20,100,0,10,2,124,"",3,13,18
219,safeguard,Safeguard,"しんぴのまもり","Mysterious Safeguard",2,1,0,25,"",0,4,1,125,"",2,15,13
220,pain-split,"Pain Split","いたみわけ","Pain Split",2,1,0,20,"",0,10,1,92,"",4,4,10
221,sacred-fire,"Sacred Fire","せいなるほのお","Sacred Fire",2,10,100,5,95,0,10,2,126,50,2,1,22
222,magnitude,Magnitude,"マグニチュード",Magnitude,2,5,1,30,100,0,9,2,127,"",5,11,18
223,dynamicpunch,DynamicPunch,"ばくれつパンチ","Exploding Punch",2,2,100,5,50,0,10,2,77,100,1,10,18
224,megahorn,Megahorn,"メガホーン",Megahorn,2,7,120,10,85,0,10,2,1,"",1,12,18
225,dragonbreath,DragonBreath,"りゅうのいぶき","Dragon Breath",2,16,60,20,100,0,10,3,7,30,1,5,17
226,baton-pass,"Baton Pass","バトンタッチ","Baton Touch",2,1,0,40,"",0,7,1,128,"",3,18,16
227,encore,Encore,"アンコール",Encore,2,1,0,5,100,0,10,1,91,"",3,18,20
228,pursuit,Pursuit,"おいうち","Pursuing Attack",2,17,40,20,100,0,10,2,129,"",4,14,20
229,rapid-spin,"Rapid Spin","こうそくスピン","Rapid Spin",2,1,20,40,100,0,10,2,130,"",1,16,17
230,sweet-scent,"Sweet Scent","あまいかおり","Sweet Scent",2,1,0,20,100,0,11,1,25,"",3,5,19
231,iron-tail,"Iron Tail","アイアンテール","Iron Tail",2,9,100,15,75,0,10,2,70,30,1,4,18
232,metal-claw,"Metal Claw","メタルクロー","Metal Claw",2,9,50,35,95,0,10,2,140,10,1,1,18
233,vital-throw,"Vital Throw","あてみなげ","Strike Throw",2,2,70,10,"",-1,10,2,79,"",1,31,2
234,morning-sun,"Morning Sun","あさのひざし","Morning Sunlight",2,1,0,5,"",0,7,1,133,"",2,25,8
235,synthesis,Synthesis,"こうごうせい",Photosynthesis,2,12,0,5,"",0,7,1,133,"",4,25,8
236,moonlight,Moonlight,"つきのひかり",Moonlight,2,1,0,5,"",0,7,1,133,"",2,25,8
237,hidden-power,"Hidden Power","めざめるパワー","Awakening Power",2,1,1,15,100,0,10,3,136,"",4,17,23
238,cross-chop,"Cross Chop","クロスチョップ","Cross Chop",2,2,100,5,80,0,10,2,44,"",1,2,18
239,twister,Twister,"たつまき",Twister,2,16,40,20,100,0,11,3,147,20,1,21,5
240,rain-dance,"Rain Dance","あまごい","Rain Prayer",2,11,0,5,"",0,12,1,137,"",5,11,13
241,sunny-day,"Sunny Day","にほんばれ","Clear Sky",2,10,0,5,"",0,12,1,138,"",2,11,13
242,crunch,Crunch,"かみくだく",Crunch,2,17,80,15,100,0,10,2,70,20,5,4,18
243,mirror-coat,"Mirror Coat","ミラーコート","Mirror Coat",2,14,1,20,100,-5,1,3,145,"",2,16,15
244,psych-up,"Psych Up","じこあんじ",Self-suggest,2,1,0,10,"",0,10,1,144,"",4,12,11
245,extremespeed,ExtremeSpeed,"しんそく",Godspeed,2,1,80,5,100,2,10,2,104,"",1,30,1
246,ancientpower,AncientPower,"げんしのちから","Primeval Power",2,6,60,5,100,0,10,3,141,10,5,32,18
247,shadow-ball,"Shadow Ball","シャドーボール","Shadow Ball",2,8,80,15,100,0,10,3,73,20,4,21,17
248,future-sight,"Future Sight","みらいよち","Future Sight",2,14,100,10,100,0,10,3,149,"",4,24,17
249,rock-smash,"Rock Smash","いわくだき","Rock Smash",2,2,40,15,100,0,10,2,70,50,5,29,18
250,whirlpool,Whirlpool,"うずしお","Whirl Tide",2,11,35,15,85,0,10,3,262,100,2,24,21
251,beat-up,"Beat Up","ふくろだたき","Gang Up",2,17,1,10,100,0,10,2,155,"",4,14,7
252,fake-out,"Fake Out","ねこだまし","Slap Hands",3,1,40,10,100,3,10,2,159,100,3,23,17
253,uproar,Uproar,"さわぐ",Clamor,3,1,90,10,100,0,8,3,160,"",3,21,10
254,stockpile,Stockpile,"たくわえる",Stockpile,3,1,0,20,"",0,7,1,161,"",5,16,11
255,spit-up,"Spit Up","はきだす","Spit Up",3,1,1,10,100,0,10,3,162,"",5,1,18
256,swallow,Swallow,"のみこむ",Swallow,3,1,0,10,"",0,7,1,163,"",5,32,8
257,heat-wave,"Heat Wave","ねっぷう","Hot Wind",3,10,100,10,90,0,11,3,5,10,2,1,17
